ID,CREDIT,GENDER,EDUCATION,MARRIAGE,AGE,PAY_FEB,PAY_JAN,PAY_DEC,BILL_AMT_FEB,BILL_AMT_JAN,BILL_AMT_DEC,PAY_AMT_FEB,PAY_AMT_JAN,PAY_AMT_DEC,DEFAULT_MAR
2709,200000,Male,Graduate,Single,26,-1,-1,-1,16811,21290,20207,5023,4007,5001,0
2710,30000,Female,High School,Single,23,-1,-1,-1,18292,18450,390,1000,390,390,0
2711,320000,Female,Post Graduate,Single,36,-1,-1,-1,262613,164486,169691,10043,15005,21640,0
2712,360000,Female,Graduate,Married,37,-1,2,2,1605,1448,0,14,0,0,0
2713,60000,Female,Graduate,Married,39,-1,-1,2,56045,59524,58563,5000,2000,1000,0
2714,50000,Female,Post Graduate,Single,28,-1,-1,-1,13733,5570,2698,2037,2698,2000,0
2715,30000,Male,Post Graduate,Single,35,2,2,2,27143,28211,28654,1800,1200,0,0
2716,50000,Female,Post Graduate,Married,31,1,2,-1,34644,33669,19124,0,1597,649,0
2717,70000,Female,Graduate,Single,24,-1,-1,-1,42105,35575,32772,1614,2042,2002,0
2718,310000,Male,Graduate,Single,44,1,-1,-1,-42,7281,0,7323,0,0,0
2719,170000,Female,Post Graduate,Single,39,-1,-1,-1,2860,15643,1104,15643,1108,191,0
2720,150000,Male,Graduate,Married,49,-1,-1,-1,111348,109115,102598,6000,4044,309,0
2721,120000,Female,Graduate,Single,30,-1,-1,-1,3333,0,3333,0,3333,0,0
2722,100000,Female,Graduate,Single,33,-1,-1,-1,75374,44796,47294,2000,5000,1521,0
2723,140000,Male,Graduate,Single,41,2,2,2,138379,143684,139902,9000,0,6800,1
2724,180000,Female,High School,Married,47,-1,-1,-1,14525,13828,10394,1347,5000,10026,0
2725,20000,Female,High School,Married,51,-1,-1,-1,19684,11580,780,1000,780,0,0
2726,80000,Female,Post Graduate,Single,25,1,-1,-1,0,0,0,0,0,0,0
2727,200000,Female,Post Graduate,Married,39,-1,-1,-1,178665,133266,95836,3677,2441,1854,0
2728,200000,Male,Post Graduate,Single,27,-1,-1,2,25334,26203,25652,2204,1004,1004,0
2729,30000,Male,High School,Married,42,-1,-1,2,14617,20350,18456,6000,28,5000,0
2730,250000,Female,Post Graduate,Single,40,-1,-1,-1,0,1069,-320,1069,320,0,0
2731,50000,Male,High School,Single,30,1,2,3,31217,33423,32600,3000,0,0,0
2732,250000,Male,Graduate,Single,31,-1,-1,-1,-23,3102,4438,3125,4455,3417,1
2733,140000,Female,Graduate,Single,25,-1,-1,-1,23409,24725,26006,2000,2000,1500,0
2734,170000,Female,Post Graduate,Single,31,2,-1,-1,520,1316,6779,1339,6779,2000,0
2735,240000,Female,Post Graduate,Single,47,-1,-1,-1,316,21359,2762,21359,2762,10318,0
2736,140000,Female,Graduate,Married,37,-1,-1,-1,135134,139178,139900,6703,6120,4015,0
2737,50000,Female,Post Graduate,Married,28,-1,-1,-1,50998,51103,50262,2209,1726,710,0
2738,240000,Female,Post Graduate,Married,47,1,2,2,124425,131943,133457,10839,5000,4800,1
2739,420000,Female,Post Graduate,Married,57,-1,-1,-1,666,2629,4352,2629,4360,2064,0
2740,220000,Male,Graduate,Married,53,-1,-1,-1,1136,642,1582,642,1582,1109,0
2741,70000,Female,Post Graduate,Married,28,-1,-1,-1,44230,44348,28978,1747,1272,1212,0
2742,90000,Male,Post Graduate,Single,28,-1,-1,-1,55779,51886,52495,2100,2166,1400,0
2743,220000,Female,Graduate,Married,40,-1,-1,-1,0,0,0,0,0,0,0
2744,200000,Female,Graduate,Single,27,-1,-1,-1,9314,6020,4817,2020,2817,1098,0
2745,240000,Male,High School,Married,55,-1,-1,-1,229254,232693,189095,8737,7506,6501,0
2746,310000,Female,High School,Single,28,-1,-1,-1,19610,14746,28216,10000,28216,4245,0
2747,80000,Female,Post Graduate,Married,34,2,2,2,76142,80627,76776,6611,1,3000,1
2748,290000,Female,Post Graduate,Married,38,-1,-1,-1,144160,147451,150617,6000,6010,5600,0
2749,260000,Male,Post Graduate,Married,43,-1,-1,-1,175247,164173,152724,8500,5950,4000,1
2750,120000,Male,Graduate,Married,43,1,-1,-1,0,0,0,0,0,0,1
2751,260000,Female,Graduate,Married,32,-1,-1,2,598,2268,2268,2268,0,1732,0
2752,360000,Female,Post Graduate,Single,39,-1,2,2,655,655,0,0,0,0,0
2753,30000,Female,High School,Married,36,-1,-1,-1,7963,9152,10282,1321,1451,349,1
2754,30000,Female,Post Graduate,Single,22,-1,-1,-1,27444,29000,29886,2000,1800,0,1
2755,20000,Male,Graduate,Single,22,-1,-1,-1,3281,4325,5341,1100,1100,500,0
2756,240000,Female,Post Graduate,Single,25,-1,-1,-1,175764,178600,182639,6500,7000,6680,0
2757,200000,Male,Post Graduate,Married,31,6,6,5,254266,240966,228663,0,328,0,1
2758,70000,Male,Post Graduate,Single,38,-1,-1,2,27000,31809,29776,5600,0,1500,0
2759,200000,Female,Graduate,Single,23,-1,-1,-1,488,878,488,878,488,488,0
2760,150000,Female,Graduate,Single,31,-1,-1,-1,18395,-2390,10042,312,20132,129665,0
2761,160000,Female,Post Graduate,Married,35,-1,-1,-1,17742,12939,7035,2000,1000,500,0
2762,180000,Female,Graduate,Single,30,-1,-1,-1,113647,52992,38394,3000,3170,2000,0
2763,190000,Male,Post Graduate,Married,39,-1,-1,-1,144414,145572,142816,7000,6000,6000,0
2764,20000,Female,Post Graduate,Married,22,-1,-1,-1,15749,16221,19836,1500,5000,500,0
2765,150000,Male,Graduate,Single,27,-1,-1,-1,82494,83044,84752,3100,3500,3000,0
2766,310000,Male,Post Graduate,Married,35,-1,-1,-1,7589,9463,12296,2000,3000,3000,0
2767,180000,Female,Post Graduate,Married,36,-1,-1,-1,98736,96566,81166,6025,5000,6800,0
2768,80000,Female,Post Graduate,Single,24,-1,-1,-1,81908,83597,157646,5501,3450,3000,1
2769,350000,Female,Post Graduate,Married,41,-1,-1,-1,85339,84393,86793,5000,5016,5000,0
2770,50000,Female,Post Graduate,Married,47,-1,-1,-1,32547,33481,26775,1582,1800,0,0
2771,90000,Female,Post Graduate,Single,23,2,-1,-1,87669,86653,57819,3499,3000,3000,0
2772,220000,Male,Post Graduate,Married,35,-1,-1,-1,112460,29300,8500,8500,8500,0,0
2773,50000,Female,Graduate,Single,25,2,3,2,43870,42891,43582,0,1700,2000,1
2774,90000,Male,High School,Married,46,-1,2,-1,1651,390,390,0,390,1950,0
2775,400000,Female,Post Graduate,Married,30,-1,-1,-1,161226,139481,17939,5000,17939,12845,0
2776,210000,Female,High School,Married,40,-1,-1,-1,2309,4791,4909,4791,1909,2588,0
2777,180000,Female,Post Graduate,Married,39,2,2,2,177113,180628,176137,7800,0,11700,1
2778,500000,Male,Graduate,Married,55,-1,-1,-1,3925,11200,25509,11253,25585,3,0
2779,260000,Female,Post Graduate,Married,39,2,-1,-1,228443,233958,252615,10698,24799,0,1
2780,180000,Female,Post Graduate,Single,26,-1,-1,-1,7149,12946,16163,5946,3663,3159,0
2781,180000,Female,Post Graduate,Married,34,-1,-1,-1,8000,0,0,0,0,0,1
2782,30000,Female,Graduate,Single,24,-1,-1,-1,22236,23574,24583,1696,1705,1037,0
2783,360000,Female,Graduate,Single,33,-1,-1,-1,31482,31805,18203,5119,5007,5002,0
2784,280000,Female,Graduate,Married,47,-1,2,2,2002,1311,0,0,0,430,0
2785,100000,Female,Graduate,Single,27,1,2,-1,53213,50842,48205,6,2031,1800,1
2786,50000,Female,Post Graduate,Married,49,-1,-1,-1,49467,41877,20082,1472,1000,107,0
2787,20000,Male,High School,Married,31,-1,-1,-1,17557,18739,19473,1466,1200,343,0
2788,80000,Female,High School,Single,27,-1,-1,-1,1672,0,1672,0,1672,836,1
2789,110000,Female,Post Graduate,Single,36,1,-1,-1,0,780,0,780,0,0,0
2790,50000,Male,Graduate,Others,25,1,-1,2,6300,3395,3180,9195,0,1831,1
2791,50000,Female,Post Graduate,Married,50,-1,-1,-1,48119,48318,21750,1554,1028,4387,1
2792,20000,Male,Graduate,Single,33,-1,-1,-1,16117,17130,18655,1285,2200,0,0
2793,200000,Female,High School,Married,41,-1,-1,-1,98184,103228,119034,5143,19034,0,0
2794,250000,Female,Post Graduate,Single,44,1,-1,-1,0,664,62791,664,65791,2000,0
2795,150000,Female,Graduate,Married,33,1,-1,-1,0,0,0,0,0,0,1
2796,50000,Male,Graduate,Single,23,1,-1,-1,0,0,0,0,0,0,1
2797,200000,Female,Graduate,Married,38,-1,-1,2,1779,1354,250,1354,0,7000,0
2798,220000,Male,Post Graduate,Married,38,-1,-1,-1,147048,137560,131090,6364,5892,5000,0
2799,60000,Female,Post Graduate,Married,36,-1,-1,-1,0,2426,3367,2426,3367,2898,0
2800,100000,Male,Post Graduate,Single,43,-1,-1,-1,47730,47525,47184,1808,1728,1641,0
2801,20000,Male,High School,Others,46,-1,-1,-1,15523,17264,18325,2000,1500,500,0
2802,140000,Male,Post Graduate,Single,28,1,3,4,82265,86127,84107,5747,0,0,1
2803,50000,Male,Post Graduate,Married,46,-1,-1,-1,48677,39756,30000,2000,3000,0,1
2804,50000,Male,Graduate,Single,28,-1,-1,-1,28639,29482,30455,2100,2000,1000,0
2805,120000,Female,Post Graduate,Married,30,-1,-1,-1,686,686,686,686,686,1372,0
2806,120000,Female,Graduate,Married,39,1,-1,-1,0,0,0,0,0,0,0
2807,30000,Male,Post Graduate,Single,38,-1,-1,-1,28637,28711,29138,2002,2002,1503,0
2808,180000,Female,Graduate,Single,26,1,-1,-1,0,0,0,0,0,0,0
2809,500000,Male,Graduate,Married,46,-1,-1,-1,53049,66623,70194,16018,10000,4,0
2810,420000,Male,Graduate,Married,44,-1,-1,-1,337792,293987,294203,12011,6472,6711,0
2811,20000,Female,Post Graduate,Married,45,-1,-1,-1,14296,15321,16333,1262,1274,1375,0
2812,50000,Female,Post Graduate,Single,24,-1,-1,-1,39083,40150,41181,1700,1700,1501,1
2813,260000,Female,Post Graduate,Single,30,-1,-1,-1,19674,17810,19753,2000,3000,3000,0
2814,50000,Male,Post Graduate,Single,27,-1,-1,-1,47481,36112,31992,1910,1790,79,0
2815,50000,Female,Graduate,Single,26,-1,-1,-1,750,0,3116,0,3116,302,0
2816,50000,Female,Post Graduate,Single,49,-1,-1,-1,43342,44441,45390,2100,2000,1113,0
2817,100000,Male,Post Graduate,Married,49,-1,-1,-1,69896,71360,72820,2588,2644,2656,0
2818,50000,Female,Graduate,Single,24,4,3,2,38965,38063,38838,0,1700,1700,1
2819,180000,Female,Graduate,Single,27,-1,-1,-1,174546,175121,150710,8269,6606,5000,0
2820,240000,Female,Graduate,Married,38,1,-1,-1,0,0,0,0,100000,0,0
2821,30000,Male,Post Graduate,Married,38,2,-1,-1,28484,29242,30037,1905,1700,1108,0
2822,30000,Female,High School,Married,60,-1,3,2,5867,5621,4090,0,0,0,1
2823,270000,Female,Graduate,Married,45,-1,-1,-1,96175,88092,78574,3626,2700,3180,0
2824,30000,Female,High School,Married,57,-1,-1,-1,347,1353,78,1353,78,135,1
2825,200000,Female,Post Graduate,Married,31,-1,-1,-1,1319,4997,3635,4997,3650,130,1
2826,40000,Female,Post Graduate,Married,29,-1,-1,-1,8801,9544,0,1000,0,0,1
2827,360000,Female,Graduate,Married,31,-1,-1,-1,0,18540,9007,18540,10000,10000,0
2828,150000,Female,High School,Married,57,-1,-1,-1,5483,9136,17348,9136,17348,6456,0
2829,80000,Female,Post Graduate,Single,24,-1,-1,-1,9933,11111,9998,1370,1233,261,1
2830,300000,Female,Graduate,Married,32,1,-1,-1,-227,44791,-649,45018,0,130447,0
2831,220000,Male,Post Graduate,Married,32,-1,-1,-1,202010,103124,105226,3746,3820,4000,0
2832,110000,Female,Post Graduate,Married,42,-1,-1,-1,776,776,776,776,776,776,0
2833,50000,Male,Graduate,Single,30,-1,-1,-1,11787,9720,8613,1300,1034,0,0
2834,50000,Female,High School,Single,60,-1,-1,-1,31164,32384,27553,1756,1445,993,0
2835,230000,Female,Graduate,Married,37,-1,-1,-1,400,20123,20590,20123,1256,1000,0
2836,50000,Male,Graduate,Married,27,2,2,2,43333,46308,47250,4000,2000,0,1
2837,240000,Female,Post Graduate,Others,39,-1,-1,-1,171907,171394,68907,7200,3000,3000,0
2838,130000,Female,Graduate,Single,26,-1,-1,-1,20054,1298,6712,1298,6730,900,0
2839,160000,Female,Graduate,Single,34,-1,-1,-1,43729,43535,40799,2045,1809,1265,0
2840,210000,Female,Graduate,Single,31,-1,-1,-1,121697,120133,118496,5000,5000,4036,0
2841,210000,Female,Post Graduate,Single,32,-1,-1,-1,1952,2787,6316,1526,4000,514,0
2842,330000,Male,Graduate,Single,47,-1,-1,-1,240063,242040,160008,9500,5591,5500,0
2843,110000,Female,Post Graduate,Married,51,-1,-1,-1,10141,11472,12973,1500,2000,0,0
2844,120000,Female,Post Graduate,Single,28,1,2,2,108993,111266,112056,5500,4100,4087,0
2845,100000,Female,Graduate,Single,29,-1,-1,-1,5466,5652,9690,5652,9690,6916,0
2846,210000,Female,Post Graduate,Single,34,-1,-1,-1,63672,57299,59336,2200,3000,3000,0
2847,350000,Female,Graduate,Single,31,-1,-1,-1,181550,177978,164481,10000,20000,100048,0
2848,180000,Female,Post Graduate,Single,25,-1,-1,-1,141836,140792,144021,5124,6000,5300,0
2849,150000,Female,Graduate,Single,28,-1,-1,-1,66296,61916,39614,3000,3005,5000,0
2850,50000,Male,Graduate,Others,37,1,2,-1,49457,47080,45833,0,1200,1000,0
2851,230000,Female,High School,Married,47,-1,-1,-1,5482,15900,1678,15900,1678,0,0
2852,30000,Female,Post Graduate,Married,39,2,2,-1,9884,9586,10318,0,1200,375,1
2853,90000,Female,Post Graduate,Married,24,2,2,2,86643,87249,86858,3881,3000,2800,1
2854,390000,Female,Post Graduate,Married,24,-1,-1,-1,16406,16966,15428,1500,1500,1000,0
2855,50000,Female,Post Graduate,Single,25,2,2,2,15679,16228,17796,1100,2150,0,1
2856,320000,Male,Post Graduate,Married,39,-1,-1,-1,51058,34619,18079,1240,1403,18084,0
2857,20000,Male,Post Graduate,Single,34,-1,-1,-1,15907,17142,17844,1498,1200,365,0
2858,200000,Female,Post Graduate,Married,41,-1,-1,-1,42292,43764,44030,3000,2000,5000,0
2859,500000,Male,Graduate,Married,40,-1,-1,-1,5255,721,17252,721,17252,7421,1
2860,190000,Female,Post Graduate,Single,28,1,-1,-1,0,0,0,0,0,0,0
2861,70000,Female,Graduate,Single,25,2,-1,-1,5730,7625,9484,2000,2000,2000,1
2862,220000,Female,Graduate,Single,35,-1,-1,-1,8304,11526,1270,11526,1282,0,1
2863,50000,Male,Post Graduate,Single,28,-1,-1,-1,28864,30090,31282,2000,2000,2900,0
2864,50000,Male,Post Graduate,Married,37,-1,-1,-1,15175,16505,17516,1579,1590,1000,0
2865,50000,Female,Post Graduate,Married,46,2,2,2,28390,29639,30854,2000,2000,0,0
2866,70000,Male,Graduate,Married,42,-1,-1,-1,70730,58103,68197,3500,15000,3000,0
2867,80000,Female,Graduate,Single,26,-1,-1,-1,66982,66130,67489,2986,3056,2787,0
2868,50000,Male,High School,Single,41,-1,-1,-1,45487,45548,46076,1858,1685,659,0
2869,150000,Female,Graduate,Single,27,-1,-1,-1,1345,0,0,0,0,0,0
2870,300000,Female,Graduate,Married,36,-1,-1,-1,540,1283,843,1283,843,0,0
2871,50000,Female,Graduate,Single,25,-1,-1,-1,10973,12092,13386,1300,1500,500,0
2872,170000,Female,Post Graduate,Married,42,-1,-1,-1,4600,6519,7360,2000,1000,2437,0
2873,350000,Male,Graduate,Single,37,-1,-1,-1,316,316,316,316,316,466,0
2874,470000,Female,Post Graduate,Single,33,-1,-1,-1,43353,47682,46429,5000,2600,1500,0
2875,20000,Male,Post Graduate,Single,25,-1,-1,-1,13610,14160,15200,1360,1400,0,0
2876,140000,Female,Post Graduate,Single,26,1,-1,-1,0,811,1633,811,1000,33,0
2877,60000,Female,Post Graduate,Single,23,1,2,2,45014,45698,39068,1774,0,12858,0
2878,160000,Female,Post Graduate,Single,23,-1,-1,2,122339,137278,136572,18518,3358,0,0
2879,150000,Female,Graduate,Single,26,-1,-1,-1,101569,103688,107321,3756,5350,2562,0
2880,20000,Female,Graduate,Single,23,-1,-1,-1,292,780,0,780,0,593,0
2881,210000,Male,Graduate,Single,35,-1,-1,-1,6808,4954,8739,4960,8747,8,0
2882,50000,Male,Post Graduate,Single,23,-1,-1,-1,3352,18685,15868,18685,1105,500,0
2883,210000,Female,Graduate,Single,31,-1,-1,-1,15332,10000,19875,10000,19875,50000,0
2884,280000,Male,Graduate,Married,44,-1,-1,-1,593,1763,53669,1777,53934,4726,0
2885,300000,Male,Post Graduate,Single,36,-1,-1,-1,15536,17923,27007,10000,10140,360,0
2886,230000,Female,High School,Married,37,-1,-1,-1,228342,189966,142377,6100,7000,5356,0
2887,250000,Male,Post Graduate,Married,47,-1,-1,-1,8996,18069,7966,18069,7966,3470,0
2888,500000,Female,Graduate,Married,36,-1,-1,-1,24170,8051,77908,8091,78192,65,0
2889,50000,Female,Post Graduate,Married,48,-1,-1,-1,12592,12899,7313,2017,2000,1200,0
2890,50000,Male,High School,Single,46,-1,-1,-1,5942,5444,2464,1056,1000,57,0
2891,150000,Female,Post Graduate,Married,36,-1,-1,-1,296846,301634,314201,7143,13700,15000,0
2892,180000,Female,Graduate,Single,53,1,-1,-1,0,41300,41300,41300,41300,0,0
2893,450000,Male,Post Graduate,Single,37,-1,-1,-1,136655,146400,156049,13492,13641,12168,0
2894,70000,Female,Post Graduate,Others,24,1,2,-1,4177,2657,2752,0,1500,0,0
2895,110000,Male,High School,Married,40,-1,-1,-1,93357,94938,79368,4100,2612,2666,0
2896,200000,Male,Graduate,Married,43,1,2,-1,203393,198272,120005,0,5812,4500,1
2897,210000,Female,Post Graduate,Single,37,1,-1,-1,0,0,0,0,0,0,0
2898,320000,Male,Graduate,Single,36,-1,-1,-1,146201,129311,112151,5465,3137,52,0
2899,20000,Male,Graduate,Single,37,-1,-1,-1,66599,67259,69521,2317,2579,606,1
2900,130000,Female,Post Graduate,Single,29,-1,-1,2,1110,1170,780,1170,0,0,0
2901,20000,Male,Graduate,Married,29,-1,-1,-1,16961,16365,9342,2000,1139,556,0
2902,210000,Male,Graduate,Married,39,-1,-1,2,3391,775,450,1000,0,0,0
2903,30000,Female,Post Graduate,Single,33,-1,-1,-1,25498,26149,26716,1451,1408,1000,1
2904,60000,Female,High School,Married,36,1,2,2,47987,48716,47632,1788,0,1894,1
2905,110000,Male,Post Graduate,Married,49,-1,-1,-1,75565,64833,48586,4009,5000,2000,0
2906,130000,Male,Graduate,Single,32,-1,-1,-1,32236,41510,-1523,10000,0,0,0
2907,500000,Female,Graduate,Single,38,-1,-1,-1,74615,74399,68761,4010,6720,5000,0
2908,500000,Male,Post Graduate,Married,38,-1,-1,-1,499231,511629,-311,22600,501,6892,1
2909,100000,Male,Post Graduate,Single,35,-1,2,2,8102,10252,5607,2500,0,59265,1
2910,220000,Male,Graduate,Single,25,-1,-1,-1,29664,5995,8419,1018,8424,20,0
2911,50000,Male,Post Graduate,Single,40,-1,-1,-1,40561,97214,48890,18280,2284,311,0
2912,500000,Male,Graduate,Married,49,-1,-1,-1,1320,1320,1320,1320,1320,1320,0
2913,50000,Female,Graduate,Single,29,-1,-1,-1,2459,2471,6015,2471,6015,0,1
2914,200000,Female,Graduate,Married,45,-1,-1,-1,1417,12643,3977,12660,3977,0,0
2915,320000,Female,Post Graduate,Single,50,-1,-1,-1,5714,7870,342,3000,342,2,0
2916,450000,Male,Post Graduate,Single,29,1,2,-1,16524,12624,11239,676,1204,264,0
2917,20000,Male,High School,Single,26,6,6,6,43340,42619,35381,0,0,0,0
2918,310000,Female,Post Graduate,Married,44,-1,-1,-1,500,0,0,0,0,0,0
2919,120000,Female,Post Graduate,Single,23,-1,-1,-1,100727,96551,69676,4324,3234,1448,1
2920,200000,Female,Post Graduate,Married,48,-1,-1,-1,354304,303188,153179,8000,5600,5600,0
2921,50000,Male,High School,Married,53,-1,-1,-1,49466,50544,25381,2442,1669,330,0
2922,130000,Male,High School,Married,48,-1,-1,-1,100522,102650,0,4650,0,0,0
2923,50000,Female,Post Graduate,Single,23,-1,-1,-1,25421,26704,26952,2000,1000,3400,0
2924,130000,Male,Post Graduate,Single,26,-1,-1,-1,16435,17166,19478,1300,2600,1000,1
2925,50000,Female,Post Graduate,Single,42,-1,-1,-1,50221,49664,49611,2215,1462,248,0
2926,30000,Male,Post Graduate,Single,32,2,-1,-1,17287,14493,17240,3000,3000,3000,0
2927,30000,Female,Post Graduate,Married,34,2,2,2,24014,25891,27385,2274,2217,1200,1
2928,160000,Male,Graduate,Single,34,-1,-1,-1,390,390,390,390,390,520,1
2929,50000,Male,Graduate,Single,27,-1,-1,-1,43341,44442,45408,1800,1729,3600,0
2930,80000,Female,Post Graduate,Single,28,-1,-1,-1,18112,8857,69841,10084,79200,2108,0
2931,60000,Female,Post Graduate,Single,25,-1,-1,-1,50269,47809,42769,4749,1621,1400,0
2932,230000,Female,Graduate,Single,27,1,2,-1,46628,45253,10507,0,1000,135,0
2933,390000,Female,Graduate,Single,30,-1,-1,-1,86124,89129,90294,4300,3437,3346,0
2934,110000,Female,Post Graduate,Married,28,-1,-1,-1,3242,4095,4296,1300,1054,1000,0
2935,50000,Male,Graduate,Single,24,1,-1,-1,0,0,0,0,0,0,0
2936,20000,Female,Post Graduate,Married,35,1,2,2,22382,20650,-15000,0,0,0,1
2937,100000,Male,Post Graduate,Single,29,-1,-1,-1,65324,11860,0,2106,0,0,0
2938,70000,Female,High School,Married,33,-1,-1,-1,32405,22484,23169,10580,8009,10004,0
2939,150000,Male,Post Graduate,Married,31,2,2,-1,156286,148841,134757,57,6203,2819,0
2940,390000,Male,Graduate,Single,31,-1,-1,-1,19469,17227,17400,2227,2400,2180,0
2941,50000,Male,Post Graduate,Married,22,-1,-1,-1,47559,50463,49094,3690,2500,942,0
2942,90000,Male,Post Graduate,Single,26,2,2,-1,121368,102385,91591,0,95800,0,0
2943,290000,Female,Post Graduate,Single,30,-1,-1,-1,288994,296230,158127,12549,7003,234456,1
2944,20000,Male,Post Graduate,Single,24,-1,-1,2,19401,20610,19682,3232,0,815,0
2945,90000,Female,Graduate,Single,28,-1,-1,2,87916,87459,88183,5800,5400,5804,1
2946,260000,Male,High School,Single,48,-1,-1,-1,266762,268508,266858,11500,10000,5731,0
2947,90000,Female,Post Graduate,Single,26,-1,-1,-1,92472,92518,91504,4600,4100,3900,0
2948,100000,Female,Post Graduate,Single,27,3,2,-1,104489,101123,101600,0,4384,341,1
2949,150000,Female,Graduate,Single,31,-1,-1,-1,126419,128887,134208,7000,12440,10000,0
2950,60000,Female,Post Graduate,Married,46,-1,-1,-1,60987,60832,50469,2145,1612,1404,0
2951,80000,Male,Post Graduate,Married,42,2,-1,-1,80586,77960,79804,3000,3200,3000,0
2952,80000,Female,Post Graduate,Married,24,-1,-1,-1,15621,3760,1368,3768,1368,0,0
2953,30000,Female,Post Graduate,Married,26,1,2,-1,30349,29580,30121,0,1200,256,0
2954,20000,Male,Post Graduate,Married,38,-1,-1,-1,2638,3016,3274,3016,3282,7055,0
2955,50000,Male,Post Graduate,Single,24,-1,-1,-1,34500,0,0,0,0,0,0
2956,250000,Female,Graduate,Single,37,-1,-1,-1,43971,32009,13346,1007,13346,9163,0
2957,50000,Female,Graduate,Single,22,-1,-1,-1,41940,41811,35920,1748,1253,2504,1
2958,120000,Female,High School,Single,32,-1,-1,-1,5152,4529,890,1015,890,890,0
2959,20000,Female,Post Graduate,Married,36,1,-1,-1,-25,-25,-25,0,0,0,0
2960,280000,Female,High School,Single,33,-1,-1,-1,2186,2186,2184,2196,2194,2554,0
2961,50000,Female,Graduate,Married,35,-1,-1,-1,46532,46624,45438,3000,1200,9,0
2962,360000,Male,High School,Single,49,-1,-1,-1,348,7963,198840,8047,200222,1044,0
2963,100000,Male,Graduate,Single,32,-1,-1,-1,671,671,671,671,671,1642,1
2964,140000,Female,High School,Married,42,2,2,2,47556,48802,47722,2300,0,3800,0
2965,170000,Female,Post Graduate,Married,33,-1,-1,-1,172382,173101,171158,6558,6316,3828,0
2966,50000,Female,Post Graduate,Married,33,-1,-1,-1,25658,26539,27507,1700,2080,3000,0
2967,50000,Male,High School,Married,46,-1,-1,-1,49083,27822,28702,1463,1733,1150,0
2968,120000,Male,Post Graduate,Married,47,-1,-1,-1,2486,151,2853,260,5753,1153,1
2969,170000,Female,Post Graduate,Single,38,-1,-1,-1,86401,88991,91571,3991,4071,4000,0
2970,380000,Male,Post Graduate,Married,43,-1,-1,-1,195221,188328,192624,8000,8263,7127,0
2971,400000,Female,High School,Married,37,-1,-1,-1,76917,79075,81864,4000,4000,3000,0
2972,50000,Female,Graduate,Single,30,-1,-1,-1,30145,26212,17354,5000,2000,1000,0
2973,440000,Female,Post Graduate,Married,42,1,-1,-1,22597,7288,5683,7324,5683,20,0
2974,30000,Female,Post Graduate,Married,24,2,2,2,150,150,150,0,0,0,0
2975,470000,Male,Graduate,Married,39,-1,-1,-1,5572,3595,22816,3595,22816,2360,0
2976,180000,Female,High School,Married,40,-1,-1,-1,1903,0,0,0,0,3155,0
2977,110000,Male,High School,Single,32,-1,-1,-1,34000,223,0,223,0,0,1
2978,300000,Male,Graduate,Single,25,-1,-1,-1,76918,41773,31180,4103,1427,600,0
2979,120000,Female,Graduate,Single,31,-1,-1,-1,325,325,325,325,325,325,0
2980,220000,Male,Graduate,Single,33,-1,-1,-1,3233,2106,666,2108,1332,1064,0
2981,50000,Male,Graduate,Single,27,-1,-1,-1,50459,36307,27713,1600,3071,500,0
2982,100000,Male,Post Graduate,Married,43,1,-1,-1,0,0,0,0,0,0,0
2983,170000,Female,Graduate,Single,30,-1,-1,-1,3733,1958,5956,1958,5956,1842,0
2984,360000,Female,Graduate,Single,37,-1,-1,-1,3355,5865,3300,5865,3300,6290,0
2985,180000,Female,Post Graduate,Single,43,-1,-1,-1,4819,5240,999,1010,1003,496,0
2986,120000,Male,Post Graduate,Single,27,-1,-1,-1,33474,29029,26523,1789,2037,659,0
2987,210000,Male,High School,Single,32,-1,-1,-1,1649,1000,0,1000,0,1761,0
2988,60000,Male,Post Graduate,Married,56,-1,-1,-1,28842,30371,31556,2000,2000,1315,1
2989,130000,Male,Post Graduate,Married,40,-1,-1,-1,20733,14261,22242,7261,12272,10265,0
2990,50000,Female,High School,Married,36,-1,-1,-1,3781,1710,25967,1710,25000,754,0
2991,50000,Female,High School,Married,52,1,2,-1,30505,29731,31062,0,1831,3000,1
2992,100000,Female,Graduate,Married,33,-1,-1,-1,3976,0,0,0,0,0,1
2993,150000,Female,High School,Married,43,-1,-1,-1,90606,93496,94196,4348,3229,3150,0
2994,240000,Male,Post Graduate,Married,38,2,-1,-1,6848,836,2508,836,2508,0,1
2995,120000,Male,Post Graduate,Others,38,-1,-1,-1,7787,3495,1706,3505,1711,0,0
2996,80000,Female,Post Graduate,Married,32,-1,-1,-1,199,199,199,199,199,199,1
2997,210000,Female,Post Graduate,Married,27,2,2,-1,174134,167095,161573,16,6800,3800,1
2998,80000,Female,Post Graduate,Single,37,-1,2,-1,1118,1102,10512,0,10512,9529,0
2999,50000,Female,Post Graduate,Married,38,-1,-1,2,20838,23204,22538,3000,0,1000,1
3000,50000,Female,Post Graduate,Others,52,-1,-1,-1,50671,50525,38240,1844,1292,804,0
3001,330000,Female,Graduate,Single,34,-1,-1,-1,1406,1467,2599,1488,2599,17064,0
3002,230000,Male,High School,Single,28,-1,-1,-1,152966,65722,11666,65722,20000,18844,0
3003,30000,Male,High School,Married,44,4,3,2,7221,6962,6700,0,0,0,1
